time,rpm,load,temp,short_term_fuel_trim_1,long_term_fuel_trim_1,short_term_fuel_trim_2,long_term_fuel_trim_2,speed,timing_advance,intake_air_temp,maf
1441802625,2192.75,47.45098039,97,3.125,0,1.5625,0.78125,114,22.5,BADDATA,34.55
1441802626,2190,57.25490196,BADDATA,2.34375,0.78125,-1.5625,0.78125,114,23,15,34.05
1441802628,2189,BADDATA,97,-3.125,0.78125,1.5625,0.78125,114,25,15,32.22
1441802630,2195.75,52.94117647,97,0.78125,0.78125,3.90625,0.78125,114,29.5,15,29.4
1441802631,2194.75,49.80392157,97,0.78125,0,-1.5625,0,114,30,15,26.79
1441802633,2191,48.23529412,97,-0.78125,0,1.5625,0,114,30.5,15,25.02
1441802635,2195.75,45.49019608,97,-0.78125,0,2.34375,0,114,33.5,15,19.98
1441802636,2194.75,38.82352941,97,5.46875,0,0,0,114,31,15,12.12
1441802638,2177.5,27.84313725,97,6.25,0,3.90625,0,113,29.5,15,12.9
1441802640,2165.25,37.64705882,98,7.03125,0,3.90625,0,113,35,15,15.33
1441802642,2161.5,34.90196078,98,0.78125,0,5.46875,0,112,35.5,15,17.6
1441802644,2158.75,38.43137255,98,7.8125,0.78125,0.78125,0.78125,112,34,15,21.53
1441802646,2155,43.1372549,98,2.34375,0.78125,0,0.78125,111,35,15,19.15
1441802648,2140.25,40.39215686,98,7.03125,0.78125,4.6875,0.78125,111,33,15,20.81
1441802650,2126.75,43.1372549,98,5.46875,0.78125,1.5625,0.78125,110,32.5,15,21.04
1441802652,2109.5,43.52941176,98,6.25,0.78125,5.46875,0.78125,109,31,BADDATA,25.19
1441802653,2095.5,53.33333333,98,2.34375,0.78125,4.6875,0.78125,109,30,15,24.91
1441802655,2097.25,47.45098039,98,0,0.78125,3.90625,BADDATA,BADDATA,30,15,25.19
1441802657,2093.75,50.58823529,98,1.5625,BADDATA,4.6875,BADDATA,110,27,16,31.5
1441802659,2115,BADDATA,98,0,0.78125,3.125,0.78125,110,29.5,15,BADDATA
1441802661,2124,52.15686275,97,BADDATA,0.78125,0,0.78125,111,29.5,15,27.4
1441802663,2130.25,41.96078431,97,2.34375,0.78125,4.6875,0.78125,110,32.5,15,22.64
1441802665,2117.5,46.66666667,97,3.90625,0.78125,6.25,0.78125,110,30,15,23.86
1441802667,2107.75,47.45098039,97,3.125,0.78125,4.6875,0.78125,110,29,BADDATA,24.91
1441802669,2107,48.23529412,97,3.125,BADDATA,BADDATA,0.78125,BADDATA,30,BADDATA,26.35
1441802671,2110.5,51.37254902,97,4.6875,0.78125,BADDATA,BADDATA,110,29.5,15,26.19
